NIT,"DV
SEDE",ORGANIZACIÓN,GRUPO POBLACIONAL,RED TERRITORIAL,LOCALIDAD,BARRIO,DIRECCIÓN,CONTACTO,TELÉFONOS DE CONTACTO,CORREO,DIA DE PEDIDO,FRECUENCIA,SEMANA
900647561,,FUNDACIÓN SEMILLITAS DE PAZ,TEJIENDO COMUNIDAD,ENGATIVÁ,SUBA,VILLA MARÍA,CALLE 135 A No. 109 - 27,ÁNGELA MARÍA PÉREZ,3185113855,"semillitasdepazfundacion@gmail.com, angelagacha3@gmail.com",VIERNES,QUINCENAL,2 Y 4 SEMANA
900221394,,PARROQUIA BEATO LUIS VARIARA,BUEN SAMARITANO,SAN PABLO,USME,SANTA MARTA,CALLE 68 D SUR No. 1 B - 24 ESTE,PADRE CAMILO AGUDELO LINARES,3127308286,pbeatoluisvariara@arquibogota.org.co,VIERNES,QUINCENAL,2 Y 4 SEMANA
830138648,-2,FUNDACION MARIA PAZ - MI PRIMERA ESCUELITA,COMEDOR AMIGO,FONTIBÓN,KENNEDY,MARIA PAZ,CARRERA 81 C No. 01 Sur - 03 PISO 2,ROSALBA VEGA,3016860190/4816112/3103048334,"fundamariapaz2004@hotmail.com, fundacionmariapaz@gmail.com",MIÉRCOLES,SEMANAL,SEMANAL
900325357,,FUNDACIÓN SAN EGIDIO COLOMBIA,COMEDOR AMIGO,INMACULADA CONCEPCIÓN,TEUSAQUILLO,TEUSAQUILLO,CALLE 26 No. 39 - 21 (ADMINISTRATIVA) - CARRERA 13 No. 14 - 23 / PARROQUIA LA CAPUCHINA - AVENIDA CARACAS No. 14 - 40 (OPERATIVAS),LACEY STIBALIZ VANEGAS MONTAÑA,3214298870,bogotasantegidio@gmail.com,MARTES,QUINCENAL,2 Y 4 SEMANA
901504186,,FUNDACIÓN TRAPITOS CON AMOR,TEJIENDO COMUNIDAD,SAN JOSÉ,CÁQUEZA,MANUEL PABÓN,CARRERA 3 No. 4 - 11,JOHANN ALEXANDER OSPINA,3123400270,johan_soga@hotmail.com,JUEVES,MENSUAL,4 SEMANA
830047295,,FUNDACION TEO TERAPEUTICA DE COLOMBIA FUNTECOL,TERAPÉUTICO POR ADICCIÓN,ENGATIVÁ,SUBA,LAGOS DE SUBA,CARRERA 104 No. 131 C - 16,ROBER WILSON CAMACHO PARDO,3183571496/3175143546,fun_tecol@hotmail.com,LUNES,QUINCENAL,1 Y 3 SEMANA DEL MES
900356216,,FUNDACION SOCIAL SERVIR CON EXPERIENCIA,ADULTO MAYOR,FONTIBÓN,KENNEDY,MANDALAY,CALLE 5 B NO. 78 C - 26,BLANCA LILIA MOLANO,3123021675 - 7590302,centroacsa@gmail.com,JUEVES,QUINCENAL,2 Y 4 SEMANA DEL MES
901631963,,ALL GODS CHILDREN INTERNATIONAL LATAM,INTERNADO,CRISTO SACERDOTE,CHAPINERO,CHAPINERO NORTE,"CALLE 65 No, 7 - 44",ANDREA LEÓN,3138832413,aleon@agci-network.net,VIERNES,QUINCENAL,2 Y 4 SEMANA
860021766,,CORPORACION DE RESIDENCIAS UNIVERSITARIAS,INTERNADO,INMACULADA CONCEPCIÓN,TEUSAQUILLO,CENTRO NARIÑO,CRA. 33 No. 23 - 51,JOSE PRIMO,335 07 39 -/3202882021,gestionadministrativa@cru.org.co,LUNES,QUINCENAL,1 Y 3 SEMANA DEL MES
860006764,,PROVINCIA DE NUESTRA SEÑORA DE GRACIA DE COLOMBIA,COMEDOR AMIGO,INMACULADA CONCEPCIÓN,CANDELARIA,CENTRO ADMINISTRATIVO,CARRERA 7 No. 6C - 10,PADRE JOSÉ MARÍA,3232847972 (SOLO WHATSAPP),frayjosemariasm@gmail.com,JUEVES,SEMANAL,SEMANAL
901748762,,FUNDACIÓN CORAZONES DE ÉXITO,TEJIENDO COMUNIDAD,SOACHA,SOACHA,LIMONAR,"VEREDA PANAMÁ, MANZANA 15, CASA 16",DIANA PAOLA CORREA RAYO,3144494555,fundacioncorazonesdeexito@gmail.com,MIÉRCOLES,QUINCENAL,2 Y 4 SEMANA
860532801,,FUNDACIÓN SANAR NIÑOS CON CANCER,TERAPEUTICO POR DISCAPACIDAD,CRISTO SACERDOTE,CHAPINERO,CHAPINERO OCCIDENTAL,AVENIDA CARACAS No. 54 - 59,MELBA ZULIMA ROJAS LARROTA,3160234549,direccion@sanarcancer.org,MARTES,QUINCENAL,2 Y 4 SEMANA
901198963,,FUNDACIÓN SOCIAL PALABRA DE VIDA,TEJIENDO COMUNIDAD,FONTIBÓN,FONTIBÓN,ATAHUALPA,"CALLE 22 H No. 112 A - 13, CALLE 23 C No. 112 - 41 (VERSALLES - PUNTO DE ENVÍO)",ANDREA BARRETO HERNÁNDEZ,3213679142 - 3107776110,fundacionsocialpalabra2018@gmail.com,MIÉRCOLES,QUINCENAL,2 Y 4 SEMANA
900942377,,SOPLANDO VIDA FUNDACIÓN SOCIAL,TERAPÉUTICO POR DISCAPACIDAD,ENGATIVÁ,ENGATIVÁ,SANTA MARÍA DEL LAGO,CARRERA 72 BIS No. 75 A - 35 / 41 / 47,MARIANA APONTE,3208865601 - 3208554452 - 4574357,soplandovidafs@gmail.com,VIERNES,QUINCENAL,2 Y 4 SEMANA
860041492,,PARROQUIA SAN FELIPE APOSTOL,BUEN SAMARITANO SIN BENEFICIO,ENGATIVÁ,ENGATIVÁ,BOSQUE POPULAR,CARRERA 69 F No. 63 - 22,DORA NUBIA PINILLA CASALLAS,3225355342,sanfelipe.apostol@yahoo.es,JUEVES,SEMANAL,SEMANAL
830062322,,FUNDACIÓN COLOMBIA HERIDA,INTERNADO,CRISTO SACERDOTE,TEUSAQUILLO,NICOLÁS DE FEDERMAN,CALLE 57 B No. 35 A - 13,DIOFANNY GONZÁLEZ,3005011268 - 6754082,fcolombiaherida@gmail.com,VIERNES,QUINCENAL,2 Y 4 SEMANA
860037208,,PARROQUIA DE CRISTO MAESTRO,TEJIENDO COMUNIDAD,PADRE MISERICORDIOSO,USAQUÉN,LA BELLA SUIZA,CALLE 127 B No. 7 C - 63,PADRE EUGENIO FERNANDEZ HERRERA,3016128952,titofer85@gmail.com,MIÉRCOLES,SEMANAL,SEMANAL
830032604,,FUNDACIÓN SOCIAL VILLA ALEGRIA,ADULTO MAYOR,SOACHA,SOACHA,LAS VILLAS,CALLE 16 No. 1 B - 22,ÁLVARO IVÁN CALLEJAS GONZÁLEZ,3203789008-3206653996,fundacionvillaalegria@gmail.com,VIERNES,SEMANAL,SEMANAL
901759864,,FUNDACIÓN CENTRO DE RESTAURACIÓN ENCUENTRO CON EL CRISTO,TERAPÉUTICO POR ADICCIÓN,FONTIBÓN,KENNEDY,SOCORRO,CARRERA 77 L No. 50 - 68 SUR,JHON JAIRO MARÍN VELÁSQUEZ,3229206718 - 32128165618,fundacionencuentroconelcristo@gmail.com,LUNES,MENSUAL,1 SEMANA
900913004,,ASOCIACIÓN UN SUEÑO PARA SER FELIZ,COMEDOR AMIGO,SOACHA,BOSA,SAN PEDRO,CALLE 74 SUR No. 82 G - 27,NURY ASTRID RAMÍREZ ROMERO,3192599373 - 3192333148-3135544461,paraserfeliz2017@gmail.com,LUNES,SEMANAL,SEMANAL
901782368,,ALMAS LIBRES DE COLOMBIA,TEJIENDO COMUNIDAD,SANTA ISABEL DE HUNGRÍA,CIUDAD BOLÍVAR,LA ESTANCIA,CARRERA 75 K No. 61 C - 04 SUR,YENNI OSIRIS BAQUERO MENDIETA,3014509031,almaslibresdecolombia@outlook.com,LUNES,QUINCENAL,2 Y 4 SEMANA
901418208,,"CORPORACION ""JUSTO A TIEMPO, JOB: 8:7""",TERAPÉUTICO POR ADICCIÓN,SOACHA,SOACHA,RICAURTE,CALLE 22 No. 4 - 26 ESTE,GINA FUENTES RAMÍREZ,3142213283,justoatiempojob87@gmail.com,JUEVES,SEMANAL,SEMANAL
900902047,,ONG FUNDACION PEQUEÑOS VALIENTES,TERAPÉUTICO POR DISCAPACIDAD,INMACULADA CONCEPCIÓN,LOS MÁRTIRES,EDUARDO SANTOS,CARRERA 20 A No. 2 - 25,#N/A,3105206341-3204756776,fpvalientes@gmail.com,LUNES,QUINCENAL,2 Y 4 SEMANA DEL MES
900089067,,FUNDACIÓN HIJOS PRODIGOS DE LA DIVINA MISERICORDIA,COMEDOR ESCOLAR,SAN JOSÉ,USME,JUAN REY LA FLORA,CALLE 74 C SUR No. 14 A - 15 ESTE,JENNY ZORAIDA GALINDO TEJEDOR,3124883609,fundacionhpdm@gmail.com,LUNES,QUINCENAL,2 Y 4 SEMANA
900114621,,"IGLESIA CENTRO CRISTIANO ASAMBLEAS DE DIOS DE VILLAVICENCIO (""ROCA DE SALVACIÓN"")",TEJIENDO COMUNIDAD,ENGATIVÁ,SUBA,LOMBARDIA,CARRERA 110 A No. 143 - 56,JOHANNA LÓPEZ - MAURICIO MUÑOZ,3108621068,ccad.secretaria@gmail.com,LUNES,QUINCENAL,1 Y 3 SEMANA
901388742,,FUNDACIÓN CENTRO DE ESTIMULACIÓN Y APRENDIZAJE JESÚS ES MI ALEGRÍA,"1. TERAPÉUTICO POR DISCAPACIDAD
2. COMEDOR ESCOLAR",FONTIBÓN,MADRID,EL TRIUNFO,CARRERA 1 A ESTE No. 3 A SUR - 32,ALISON JOHANA JIMÉNEZ CÁRDENAS,3214741385 - 3118648231,"f.jesusesmialegria@gmail.com, alis_27_4@hotmail.com",VIERNES,QUINCENAL,2 Y 4 SEMANA
800167703,,PRIMERA IGLESIA PRESBITERIANA DE BOGOTA,COMEDOR ESCOLAR,INMACULADA CONCEPCIÓN,SANTA FÉ,LAS NIEVES,CLL 24 N.5-31,LORENA,341 46 29 - EX T 01/3102359534 Lorena,pipb180@gmail.com,LUNES,QUINCENAL,1 Y 3 SEMANA DEL MES
900191331,,IGLESIA CRISTIANA INTERNACIONAL EL TABERNÁCULO DEL PACTO,"1. TEJIENDO COMUNIDAD
2. COMEDOR AMIGO",FONTIBÓN,KENNEDY,MARSELLA,AVENIDA DE LAS AMÉRCIAS No. 71 - 30,JAIRO TORRES - NUBIA GALLEGOS,3104829169 - 3104820332,pasjtorres@hotmail.com,VIERNES,QUINCENAL,2 Y 4 SEMANA
901258971,,FUNDACIÓN TERNURA DE DIOS EN LA CREACIÓN,TEJIENDO COMUNIDAD,SANTA ISABEL DE HUNGRÍA,CIUDAD BOLÍVAR,CARACOLI,CALLE 77 SUR No. 73 B - 15,HERMANA LUZ DARY CARVAJAL HERNÁNDEZ,3134355290,sorluzcar@yahoo.es,MIÉRCOLES,QUINCENAL,2 Y 4 SEMANA
900196195,,CORPORACION DOXA,"1. COMEDOR AMIGO
2. TEJIENDO COMUNIDAD",PADRE MISERICORDIOSO,USAQUÉN,LA CITA,CARREA 6 C - CALLE 171 A,WILSON FABIÁN SÁNCHEZ DELGADO,3123786341,corporaciondoxa16@gmail.com,LUNES,SEMANAL,SEMANAL
900762198,,FUNDACION CORAZONES UNIDOS CONTRA LA INDIFERENCIA,TEJIENDO COMUNIDAD,SOACHA,SOACHA,SANTA ANA,CALLE 10 H No. 17 - 75,,3340050 / 3143729668 / 3123132196 Alba,fundacioncorazonesunidos1@hotmail.com,LUNES,MENSUAL,4 SEMANA
830087789,,FUNDACION ABRIENDO FRONTERAS,COMEDOR ESCOLAR,INMACULADA CONCEPCIÓN,SANTA FÉ,SANTA ROSA DE LIMA,CARRERA 6 ESTE No. 2 - 24,JESSICA JULIANA CALDERÓN,3108003683,angelarodriguez154@hotmail.com,SÁBADO,SEMANAL,SEMANAL
901203925,,IGLESIA CRISTIANA MISIONERA REAL SACERDOCIO,TEJIENDO COMUNIDAD,FONTIBÓN - NACIONAL,MOSQUERA,ALICANTE,CARRERA 7 No. 13 - 44,SIERVO DE JESÚS GALINDO AGUILAR,3114817590,pastorjesusgalindo10@gmail.com,VIERNES,MENSUAL,2 SEMANA
900375532,,IGLESIA BÍBLICA PETRA COLOMBIA,TEJIENDO COMUNIDAD,ENGATIVÁ,SUBA,TURINGIA,CARRERA 103 B No. 152 - 83,ELVIN LEONARDO GUTIÉRREZ LACHEROS,3017494581,facturacionbpc@gmail.com,VIERNES,QUINCENAL,2 Y 4 SEMANA
